restaurant,review,rating,date
McDonald's,"I can not in my own morality recommend McDonald's is good for anyone , but we all know your still searching for your after hour booze rehabilitation program due to the cravings of salt it provides for you. One note to mention it will  indeed taste better when drinking but next morning you will regret  it my friend !<br>Always throughly believed McDonald's should  be 18+ as that is pure dopamine addictive foods that isn't real food and im not too sure if a mchappy meal really axtually makes us happy in the long run. Lol",1,04/23/2024
McDonald's,"Ordered 2 times on doordash, missing items every time.",1,04/21/2024
McDonald's,"Listen being open 24/7 is crazy for the workers, but the employees here crush that.<br><br>Idk how it’s gotten low reviews, fast service, polite staff and good seating area.<br><br>What more you need.",5,04/14/2024
McDonald's,Ordered through app. Forgot a portion of my order and no way to dispute it.,1,04/06/2024
McDonald's,Zero costumer service this guy is so rude to all folks stay away from him,1,03/22/2024
McDonald's,The worst of all. Their customer service is so poor. The guy was standing still and was aggressive as he don’t wanted to make my order.,1,03/20/2024
McDonald's,"Amazing as usual , only thing not halal and I can’t eat burgers(",5,03/03/2024
McDonald's,"Please get rid of burned oil smell. It is disgusting. Can you ventilate the place? I like McDonald, but this branch disappointing me always.",1,02/21/2024
McDonald's,"I asked them for washroom. But they don’t have a washroom in use. So i ordered food from Mac Donald’s & went to the near by Tim Hortons & used their washroom. And again come back to the Mac Donald’s, and pick my foods. That’s how it’s happened.🤩",1,02/18/2024
McDonald's,"Slowest McDonalds in the city, workers seem to be arguing all the time, and the line around dinner time takes forever to clear, but they sure clear the order board quickly to make it seem like they are fulfilling orders fast.",2,02/09/2024
McDonald's,i think this is as clean of a mcdonalds that you can get in downtown toronto.. tried the mcrib! basically a patty drenched in rib sauce but for $7 it's okay,4,02/04/2024
McDonald's,Its ok place. So slow. Dont want to go often for food just coffee or flurry,2,01/12/2024
McDonald's,This was a really bad experience for me because I ordered a med fries with a wrap but they gave me a different wrap and a large fries. Also it took around 15 minutes to make. Don't come here unless you want to get a mystery surprise,1,01/04/2024
McDonald's,Awesome staff; fast service!,5,01/03/2024
McDonald's,A regular McDonald’s in Toronto. It’s small but I like the decoration here. There’s no table service and the service is slow and unfriendly.,2,12/23/2023
McDonald's,"Actually, a good location staff members are proficient. Less kids serving you, probably why I prefer this location",5,12/13/2023
McDonald's,"I've never had any issues with this place. It's pretty clean, fast service. I wouldn't say the staff are rude, they just kind of seem dead inside which is fair.",5,12/11/2023
McDonald's,Good place needs an upgrade in their food court it's very small and needs more than one bathroom 1 bathroom is not enough!<br>overall the staff is cool especially jade! close to home no complaints.,4,12/06/2023
McDonald's,Came here around 11:30pm and they gave me the wrong order. I even double checked by asking them but they assured me that it’s correct. Only realized once I came home.,1,11/24/2023
McDonald's,"Took forever, the person spilt ice cream on. Not apologetic.",1,11/18/2023
McDonald's,"Decent coffee at a decent price, for when you're on the go.",4,11/09/2023
McDonald's,Not that much place to sit because of very busy area. Else it’s good place to eat,5,10/25/2023
McDonald's,Happy go friendly spot. Not too busy very clean.,5,10/21/2023
McDonald's,They are a complete unstructured mess,1,10/18/2023
McDonald's,Super slow and rude staff.,1,10/12/2023
McDonald's,I ordered a double quarter pound BLT. There was no bacon on the sandwich. The fries were ice cold and I wasn't given any ketchup so I wasted money ordering a large as I had to dump all of them. DID NOT ENJOY MY MEAL.,1,10/11/2023
McDonald's,The time limit before it is considered littering is not very inviting... they don't say anything but walk around staring at you..,3,09/27/2023
McDonald's,Awesome customer  service very  helpful,5,08/23/2023
McDonald's,What’s with the wait for them to finish their conversation! before even bothering to look at you and take your order! slow and bad service!,2,08/22/2023
McDonald's,"It was filthy, smelly, and  for the 6 people behind the counter, it seemed only 2 were working. The others were just yelling at each other.",1,08/19/2023
McDonald's,Super dirty. Awkward seating. Decent service and friendly people though. I just hate the dirtiness.,2,08/12/2023
McDonald's,had an issue with the app but Jess helped take care of everything and was the best service I ever had in my life,5,08/10/2023
McDonald's,As a delivery driver who goes to many restaurants. This McDonald's has the best staff.,5,08/08/2023
McDonald's,"STAY AWAY.  it doesn’t matter when you go there busy or not, this place is a disaster.  Dirty, staff are slow and all look angry and not at all helpful.",1,08/05/2023
McDonald's,Why have 'serving now' sign if you close orders in the system as 'complete' when they obviously aren't?<br><br>The staff here completely ignore the mobile pick up table and you have to yell to get their attention,2,08/04/2023
McDonald's,Decent place for Toronto downtown,4,07/19/2023
McDonald's,"Fast food is not fast any more.<br>One of the most if not the most unorganized locations, it toke them 20 minutes for a breakfast sandwich and a coffee and orange juice yet & its a Mobile order<br>The manger was so rod and angry screaming at people saying she is not taking any more orders i really think if you are not happy with your job just change it do not take it on your paying customers i will never order or dine at this location if I will die from hunger",1,07/17/2023
McDonald's,"Got a fish fillet meal, it was very underdone, greasy and cold. Won't be returning.",1,07/16/2023
McDonald's,"I recently had an bad experience this morning with McDonald’s at this location. I ordered chicken McMuffin, two wraps and a blueberry flavour smoothie. When i went for collecting the stuff for pick up order, the smoothie was half in the large size cup and the employee their gave me excuse that the ice in the smoothie melt that’s why its half i said it should be full either way then he take it old one with him and another girl employee came after 5 minutes with same smoothie putting ice to cover it up i guess said the machine is not working and all. I said okay I’ll manage this time, when i came home with my order and i tasted the smoothie It was totally ice and thick ice literally. They literally lied to me i have to garbage the whole thing but I’m not letting it go until they gave me refund and another thing the Chicken McMuffin’s chicken patty and bread was too old or frozen something I literally been into vomit!!! The wraps were okay but the other two things are just worst! Idk what mcd tryna do but its totally not tolerable!",5,07/09/2023
McDonald's,"The king and bathurs location is full of lazy workers… at least 30mins wait for everyone who order something there… half order served, coffee cold and the worse thing, they don’t even care… manager doesn’t even care about customer service, such a rude person, i hope this McDonald’s fire all these people before they close that disgusting location",1,07/08/2023
McDonald's,Place is understaffed and run down. Kiosk machines were dirty and the whole place was just a mess.,2,07/04/2023
McDonald's,"The place is so busy and understaffed.  I feel bad for them.  The tables didn't get wiped down regularly and the bathrooms were so busy. Koodos to the staff though. They work so hard.  Please management, help your staff and get more on the line.",3,07/03/2023
McDonald's,"This mcds is also chaotic - it's always super busy, with a long line up. I'd much rather prefer to order delivery from here than to go inside.",4,06/13/2023
McDonald's,Worst mc in entire world,1,06/07/2023
McDonald's,"I just go to get an ice cream cone. I'm not sure why, but I love McDonald's ice cream",3,06/06/2023
McDonald's,Thank you Jess for all your help☺️.,5,05/31/2023
McDonald's,"Restaurant cleanliness was nicely maintained by the staff Diana , her efforts to keep the place neat & tidy was commendable.",3,05/29/2023
McDonald's,By far the worst McDonald's I've ever been to. Never visiting again.,1,05/28/2023
